trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-389.75344076580586,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 8}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-383.0871961299251,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 8}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-538.6246194984028,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 11}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-312.23575791634886,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 7}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-253.45926424820098,"{0: 6, 1: 2, 2: 7, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-384.77910602783123,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 8}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-353.85514942592204,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 7}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-188.22607352824167,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-250.58956038942014,"{0: 6, 1: 1, 2: 9, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-167.28895291270396,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-169.26543682775826,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-290.10649651771917,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-336.16026170279537,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 6}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-144.71947753068187,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-139.2404782223636,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-302.62345095873684,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-137.02940905253166,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-172.11034851975688,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-142.6285016511893,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,12,-20.59020113556649,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-102.30561976443084,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-280.63057352786063,"{0: 11, 1: 5, 2: 9, 3: 1, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",25,0,-134.284498673697,"{0: 8, 1: 4, 2: 13, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-90.67213459265258,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-338.59230684671724,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 7}",0
6,True,"{'a': 0, 'e': 0}",25,0,-107.07016083758717,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-185.58240274423167,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-200.8042081650243,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-195.93931695078334,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-258.49009977701263,"{0: 4, 1: 4, 2: 8, 3: 0, 4: 4}",0
