trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.6930348836244177}",20,0,-302.90888885774257,"{0: 5, 1: 1, 2: 8, 3: 1, 4: 5}",0
2,False,"{'a': 0.01, 'e': 0.6861390713147286}",25,0,-300.6353225652111,"{0: 6, 1: 3, 2: 11, 3: 1, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.6793118734839557}",20,0,-152.73986378241827,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.6725526074066261}",20,0,-164.5278664126642,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.6658605971504997}",20,0,-59.51214441422755,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.6592351735089741}",35,0,-275.2532853885026,"{0: 15, 1: 5, 2: 11, 3: 0, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.6526756739341637}",25,0,-220.03094983506446,"{0: 6, 1: 4, 2: 13, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.646181442470645}",30,0,-316.63047564416314,"{0: 9, 1: 1, 2: 16, 3: 0, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.6397518296898597}",20,0,-146.16026321104394,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.6333861926251716}",20,0,-209.57224200664717,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.6270838947075698}",30,0,-224.05619232848215,"{0: 11, 1: 4, 2: 13, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.6208443057020102}",25,0,-300.9774295239618,"{0: 7, 1: 1, 2: 12, 3: 1, 4: 4}",0
13,False,"{'a': 0.01, 'e': 0.6146668016443929}",25,0,-358.9243658525121,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 7}",0
14,False,"{'a': 0.01, 'e': 0.608550764779164}",20,0,-231.8850666703781,"{0: 8, 1: 0, 2: 8, 3: 0, 4: 4}",0
15,False,"{'a': 0.01, 'e': 0.6024955834975404}",25,0,-250.08067540023674,"{0: 10, 1: 2, 2: 9, 3: 0, 4: 4}",0
16,False,"{'a': 0.01, 'e': 0.5965006522763479}",25,0,-262.13825707325117,"{0: 7, 1: 5, 2: 9, 3: 0, 4: 4}",0
17,False,"{'a': 0.01, 'e': 0.5905653716174686}",25,0,-191.54587505031677,"{0: 9, 1: 3, 2: 11, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.5846891479878904}",25,0,-258.9826530935965,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 5}",0
19,False,"{'a': 0.01, 'e': 0.5788713937603536}",20,0,-120.46634165430889,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.5731115271545872}",25,0,-236.7242616296209,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
21,False,"{'a': 0.01, 'e': 0.5674089721791309}",25,0,-122.66664932678154,"{0: 9, 1: 6, 2: 10, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.5617631585737349}",25,0,-228.9733336717254,"{0: 9, 1: 2, 2: 11, 3: 0, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.5561735217523338}",20,9,-127.32416949974326,"{0: 4, 1: 0, 2: 5, 3: 0, 4: 2}",1
24,False,"{'a': 0.01, 'e': 0.5506395027465874}",25,0,-234.84087420147569,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 5}",0
25,False,"{'a': 0.01, 'e': 0.5451605481499834}",20,0,-246.4352899814528,"{0: 6, 1: 1, 2: 9, 3: 0, 4: 4}",0
26,False,"{'a': 0.01, 'e': 0.5397361100624963}",25,0,-313.6551580268165,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 6}",0
27,False,"{'a': 0.01, 'e': 0.5343656460357972}",25,0,-280.84669038174894,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 5}",0
28,False,"{'a': 0.01, 'e': 0.5290486190190078}",20,0,-208.3531788101671,"{0: 4, 1: 2, 2: 12, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.5237844973049957}",30,0,-335.89555410867587,"{0: 11, 1: 1, 2: 12, 3: 1, 4: 5}",0
30,False,"{'a': 0.01, 'e': 0.5185727544772025}",20,0,-270.27840426154887,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 6}",0
31,False,"{'a': 0.01, 'e': 0.5134128693570025}",20,0,-206.2844834319256,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
32,False,"{'a': 0.01, 'e': 0.5083043259515836}",20,0,-272.4047149442716,"{0: 4, 1: 4, 2: 6, 3: 2, 4: 4}",0
33,False,"{'a': 0.01, 'e': 0.5032466134023483}",20,0,-226.2902214548576,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
34,False,"{'a': 0.01, 'e': 0.49823922593382675}",20,0,-127.02048099391378,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.4932816628030994}",25,0,-198.4992925338265,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
36,False,"{'a': 0.01, 'e': 0.4883734282497217}",20,0,-170.8785386452719,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.48351403144614824}",25,0,-137.6522223650981,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.47870298644864906}",20,0,-195.28842831959298,"{0: 6, 1: 1, 2: 10, 3: 1, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.4739398121487152}",30,0,-193.51944722281442,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.4692240322249475}",30,0,-270.9257524741993,"{0: 12, 1: 5, 2: 8, 3: 1, 4: 4}",0
41,False,"{'a': 0.01, 'e': 0.46455517509542354}",20,0,-192.61589304600201,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
42,False,"{'a': 0.01, 'e': 0.4599327738705397}",30,0,-328.46255672923496,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 6}",0
43,False,"{'a': 0.01, 'e': 0.45535636630632154}",30,0,-352.59475672899435,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 7}",0
44,False,"{'a': 0.01, 'e': 0.45082549475819894}",20,0,-318.8486100697993,"{0: 3, 1: 1, 2: 10, 3: 1, 4: 5}",0
45,False,"{'a': 0.01, 'e': 0.4463397061352413}",30,0,-306.9135706190059,"{0: 9, 1: 3, 2: 14, 3: 0, 4: 4}",0
46,False,"{'a': 0.01, 'e': 0.4418985518548481}",20,0,-99.82042140600214,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.4375015877978905}",20,0,-180.20626290836182,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.4331483742642986}",25,0,-226.0891957128848,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
49,False,"{'a': 0.01, 'e': 0.42883847592909125}",20,0,-195.86819645458624,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.42457146179884336}",20,0,-307.7354338565399,"{0: 6, 1: 1, 2: 7, 3: 0, 4: 6}",0
51,False,"{'a': 0.01, 'e': 0.4203469051685861}",20,0,-166.52215274588931,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.41616438357913604}",25,0,-246.63117419326588,"{0: 10, 1: 3, 2: 8, 3: 0, 4: 4}",0
53,False,"{'a': 0.01, 'e': 0.41202347877484863}",20,0,-255.90425815111618,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 5}",0
54,False,"{'a': 0.01, 'e': 0.40792377666179275}",35,0,-287.82630236577137,"{0: 13, 1: 3, 2: 16, 3: 0, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.40386486726634063}",25,0,-174.4093257439658,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.3998463446941704}",25,0,-231.96480771110754,"{0: 11, 1: 2, 2: 8, 3: 0, 4: 4}",0
57,False,"{'a': 0.01, 'e': 0.39586780708967595}",30,0,-140.4396973857445,"{0: 14, 1: 1, 2: 15, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.3919288565957814}",20,0,-177.02392614774934,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
59,False,"{'a': 0.01, 'e': 0.38802909931415497}",30,0,-159.78018554658107,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.38416814526581855}",25,0,-242.60358328863995,"{0: 8, 1: 3, 2: 11, 3: 0, 4: 3}",0
61,False,"{'a': 0.01, 'e': 0.38034560835214987}",25,0,-253.63238291394492,"{0: 9, 1: 4, 2: 8, 3: 0, 4: 4}",0
62,False,"{'a': 0.01, 'e': 0.3765611063162721}",20,0,-298.6422997530241,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 6}",0
63,False,"{'a': 0.01, 'e': 0.372814260704828}",20,0,-209.69955541941835,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
64,False,"{'a': 0.01, 'e': 0.36910469683013397}",20,0,-149.5953230200448,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.3654320437327112}",20,0,-91.56752862623739,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.3617959341441894}",20,0,-206.89724294301737,"{0: 6, 1: 5, 2: 5, 3: 1, 4: 3}",0
67,False,"{'a': 0.01, 'e': 0.3581960044505797}",20,0,-354.3645901983799,"{0: 4, 1: 3, 2: 6, 3: 0, 4: 7}",0
68,False,"{'a': 0.01, 'e': 0.35463189465591266}",30,0,-280.27325629103757,"{0: 13, 1: 2, 2: 10, 3: 1, 4: 4}",0
69,False,"{'a': 0.01, 'e': 0.3511032483462388}",20,0,-124.44289030226547,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.3476097126539866}",20,0,-164.33531892485306,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
71,False,"{'a': 0.01, 'e': 0.34415093822267556}",30,0,-227.2214535127489,"{0: 12, 1: 3, 2: 12, 3: 1, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.3407265791719802}",20,0,-110.70849286894008,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.33733629306314167}",20,0,-273.98734930261816,"{0: 7, 1: 0, 2: 8, 3: 0, 4: 5}",0
74,False,"{'a': 0.01, 'e': 0.33397974086472404}",25,0,-199.34031223410477,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
75,False,"{'a': 0.01, 'e': 0.33065658691871025}",25,0,-215.8269095094415,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
76,False,"{'a': 0.01, 'e': 0.3273664989069364}",20,0,-132.0069731525979,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.32410914781785966}",25,0,-150.79843624291166,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
78,False,"{'a': 0.01, 'e': 0.32088420791365646}",35,0,-286.00212896685366,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 5}",0
79,False,"{'a': 0.01, 'e': 0.3176913566976491}",25,0,-346.87164376142834,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 7}",0
80,False,"{'a': 0.01, 'e': 0.3145302748820551}",35,0,-315.1616568941466,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 6}",0
81,False,"{'a': 0.01, 'e': 0.31140064635605874}",20,0,-282.7042019201551,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 6}",0
