trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-89.23982715516439,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-115.73246035232683,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-77.81173574739196,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-136.12940358017607,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-169.55790746572035,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-106.50782692424742,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-35.1962725867991,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-149.56461452036714,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",35,0,-137.89740519245734,"{0: 25, 1: 4, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-237.02368880226132,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-92.29331835079644,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-110.66236366238655,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-120.24110703913372,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-222.15526968444027,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-190.53920639863475,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-135.58538808435438,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-176.10979343957757,"{0: 10, 1: 5, 2: 1, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,8,1.689812640011497,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-103.99522093795974,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-245.3626964765838,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-159.7427368583002,"{0: 9, 1: 6, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-108.38871235272245,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-158.98813067629516,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-108.23839885759898,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,15,3.640502466104519,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-240.26748943205965,"{0: 9, 1: 5, 2: 7, 3: 0, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-68.96115494819668,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-92.77852843816319,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-119.25503006515162,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,12,-40.27069860362994,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
